anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
23,27,30.90625,1,"[25, 26, 38, 26, 36, 31, 24, 29, 25, 35, 28, 28, 28, 34, 30, 34, 25, 38, 35, 34, 29, 28, 34, 35, 28, 30, 32, 34, 31, 32, 35, 32]",32,1,4.002897136,30
25,30,33.1875,1,"[31, 36, 38, 30, 37, 38, 32, 33, 27, 27, 33, 28, 37, 36, 26, 38, 35, 37, 27, 38, 30, 36, 31, 34, 26, 30, 35, 36, 35, 37, 33, 35]",32,2,3.946721792,30
24,29,33,1,"[32, 34, 38, 34, 37, 36, 25, 37, 35, 25, 32, 33, 33, 37, 37, 26, 30, 32, 38, 37, 35, 38, 26, 35, 35, 33, 25, 31, 37, 27, 37, 29]",32,3,4.295534065,30
24,28,31.40625,1,"[36, 28, 38, 35, 37, 29, 33, 29, 27, 31, 31, 38, 36, 28, 37, 28, 38, 30, 31, 31, 38, 26, 25, 26, 31, 30, 29, 32, 36, 29, 25, 27]",32,4,4.241571338,30
25,30,32.4375,1,"[31, 33, 33, 38, 36, 32, 31, 30, 36, 35, 29, 28, 31, 38, 26, 26, 28, 34, 37, 35, 35, 32, 30, 28, 33, 38, 31, 31, 37, 31, 35, 30]",32,5,3.472820737,30
25,31,33.61290323,0,"[27, 26, 39, 30, 31, 37, 39, 35, 38, 34, 36, 39, 39, 34, 32, 31, 27, 33, 31, 36, 34, 39, 38, 35, 27, 36, 32, 34, 28, 32, 33]",31,6,3.997310924,30
23,28,30.8125,1,"[27, 31, 32, 24, 24, 30, 33, 32, 30, 30, 32, 32, 29, 27, 30, 37, 30, 24, 33, 29, 37, 31, 30, 25, 36, 35, 34, 36, 36, 31, 29, 30]",32,7,3.667094305,30
23,27,31.51612903,1,"[32, 34, 29, 30, 38, 30, 37, 36, 25, 28, 36, 35, 28, 31, 28, 33, 37, 36, 35, 38, 27, 38, 30, 25, 26, 37, 24, 25, 33, 31, 25]",31,8,4.61787085,30
24,29,32.78125,1,"[36, 37, 35, 32, 38, 26, 26, 38, 38, 37, 38, 29, 34, 37, 32, 38, 33, 37, 30, 35, 31, 31, 29, 34, 26, 29, 30, 25, 28, 38, 37, 25]",32,9,4.484628765,30
23,29,31.84375,1,"[29, 31, 27, 31, 36, 31, 35, 24, 32, 28, 36, 35, 29, 36, 37, 37, 32, 38, 31, 30, 34, 35, 29, 24, 34, 34, 34, 34, 33, 33, 25, 25]",32,10,3.952209468,30
22,27,30.65625,1,"[34, 37, 36, 37, 33, 28, 24, 23, 28, 26, 27, 32, 27, 30, 33, 26, 37, 27, 27, 34, 36, 31, 30, 29, 33, 29, 25, 36, 32, 37, 32, 25]",32,11,4.307602993,30
21,27,30.1875,1,"[34, 32, 31, 27, 31, 31, 29, 36, 25, 36, 23, 31, 27, 31, 27, 37, 33, 30, 34, 32, 33, 27, 22, 35, 33, 29, 34, 25, 23, 29, 35, 24]",32,12,4.192447126,30
23,28,31.84375,1,"[35, 30, 35, 35, 27, 36, 33, 28, 31, 29, 34, 36, 33, 28, 25, 28, 30, 27, 35, 36, 29, 37, 37, 36, 25, 36, 37, 37, 31, 25, 33, 25]",32,13,4.189921664,30
22,28,31.32258065,1,"[38, 31, 23, 37, 31, 25, 29, 38, 29, 30, 32, 28, 25, 31, 33, 35, 36, 28, 29, 35, 38, 35, 26, 26, 34, 34, 29, 33, 33, 37, 23]",31,14,4.489893071,30
25,29,32.40625,1,"[34, 32, 31, 39, 26, 27, 28, 38, 26, 31, 37, 32, 34, 30, 38, 34, 30, 32, 27, 30, 38, 36, 32, 26, 35, 39, 30, 29, 30, 36, 32, 38]",32,15,4.094523289,30
23,28,31.28125,1,"[30, 29, 27, 32, 26, 36, 25, 36, 35, 34, 28, 35, 31, 37, 32, 29, 35, 25, 28, 27, 29, 37, 31, 35, 36, 25, 35, 29, 34, 33, 30, 30]",32,16,3.81198767,30
25,31,33.8125,1,"[39, 29, 35, 35, 33, 27, 37, 37, 31, 32, 38, 34, 31, 37, 32, 37, 37, 35, 34, 37, 38, 36, 32, 36, 37, 37, 30, 27, 34, 31, 27, 30]",32,17,3.514371416,30
24,30,31.875,1,"[34, 26, 38, 32, 37, 34, 32, 28, 29, 37, 29, 35, 29, 25, 30, 38, 31, 32, 38, 37, 33, 32, 35, 27, 28, 29, 29, 29, 33, 33, 32, 29]",32,18,3.687380397,30
22,27,30.625,1,"[35, 31, 27, 33, 33, 32, 28, 35, 37, 33, 30, 26, 27, 25, 37, 27, 35, 37, 29, 31, 28, 34, 26, 33, 25, 37, 24, 34, 30, 27, 29, 25]",32,19,4.101533938,30
23,29,32.31034483,1,"[30, 28, 36, 36, 29, 25, 34, 38, 31, 34, 37, 33, 36, 38, 37, 34, 29, 34, 24, 35, 26, 38, 31, 24, 38, 25, 30, 32, 35]",29,20,4.552106642,30
25,30,33.87096774,1,"[35, 29, 30, 36, 35, 29, 35, 34, 38, 37, 36, 33, 26, 36, 36, 38, 37, 35, 35, 38, 35, 26, 38, 33, 32, 36, 26, 30, 38, 37, 31]",31,21,3.748261246,30
23,28,31.25,1,"[30, 26, 29, 37, 35, 24, 30, 36, 37, 28, 29, 27, 32, 31, 37, 33, 35, 33, 34, 33, 32, 37, 35, 32, 31, 24, 32, 27, 30, 25, 30, 29]",32,22,3.835319728,30
25,30,32.90625,0,"[29, 35, 34, 37, 38, 29, 38, 38, 38, 31, 33, 28, 31, 33, 31, 30, 34, 34, 32, 32, 36, 30, 32, 28, 37, 27, 27, 31, 32, 38, 33, 37]",32,23,3.504461442,24
23,28,32.4375,1,"[36, 29, 36, 35, 37, 26, 35, 37, 37, 31, 33, 37, 27, 36, 30, 24, 34, 36, 32, 36, 34, 34, 35, 26, 30, 35, 32, 37, 26, 31, 30, 24]",32,24,4.142132067,24
24,29,31.4375,1,"[28, 34, 32, 34, 30, 36, 25, 34, 32, 35, 28, 26, 36, 34, 32, 30, 38, 31, 25, 38, 30, 35, 29, 30, 30, 27, 30, 29, 31, 37, 31, 29]",32,25,3.582551803,24
26,31,35.0625,1,"[40, 28, 38, 33, 34, 38, 38, 37, 32, 40, 36, 38, 27, 31, 29, 37, 36, 31, 29, 30, 38, 40, 39, 39, 39, 33, 32, 27, 39, 37, 40, 37]",32,26,4.249762802,24
23,28,31.375,1,"[36, 31, 32, 35, 29, 30, 34, 36, 37, 34, 33, 30, 29, 28, 36, 30, 31, 30, 25, 27, 27, 36, 33, 36, 29, 24, 36, 27, 28, 37, 31, 27]",32,27,3.782387026,24
22,27,30.28125,1,"[30, 33, 28, 24, 37, 24, 26, 28, 33, 25, 29, 30, 37, 37, 27, 35, 28, 31, 29, 31, 27, 30, 37, 35, 31, 31, 34, 28, 25, 26, 28, 35]",32,28,4.017978749,24
23,28,31.65625,1,"[26, 27, 32, 36, 33, 31, 33, 36, 34, 37, 32, 24, 30, 34, 30, 33, 34, 35, 37, 30, 34, 29, 28, 26, 35, 35, 27, 35, 29, 32, 34, 25]",32,29,3.677388405,24
24,29,32.28125,1,"[25, 35, 36, 36, 29, 34, 25, 27, 35, 31, 30, 38, 30, 38, 30, 38, 27, 38, 38, 27, 33, 30, 29, 29, 38, 31, 35, 38, 28, 31, 31, 33]",32,30,4.21391225,24
25,29,33.40625,1,"[31, 38, 30, 32, 28, 28, 39, 34, 29, 33, 33, 33, 33, 26, 32, 39, 39, 38, 39, 36, 38, 26, 37, 30, 38, 26, 39, 32, 27, 33, 37, 36]",32,31,4.398382217,24
25,30,32.71875,1,"[28, 33, 37, 26, 30, 26, 31, 34, 37, 33, 36, 31, 36, 37, 36, 33, 27, 29, 34, 29, 35, 33, 30, 37, 35, 31, 33, 31, 32, 35, 37, 35]",32,32,3.352749233,30
24,30,33.875,1,"[34, 39, 38, 33, 32, 32, 29, 35, 33, 29, 37, 36, 32, 26, 28, 38, 38, 37, 38, 38, 30, 39, 39, 27, 29, 39, 33, 29, 33, 38, 31, 35]",32,33,4.054070038,30
23,28,31.6875,1,"[37, 32, 32, 33, 31, 35, 24, 31, 26, 34, 36, 37, 24, 31, 37, 36, 35, 32, 26, 30, 25, 36, 29, 32, 25, 32, 32, 31, 32, 36, 32, 33]",32,34,3.913891719,30
25,31,33.5,1,"[39, 36, 35, 35, 33, 35, 29, 31, 32, 27, 29, 37, 34, 35, 33, 29, 39, 34, 39, 36, 28, 26, 38, 39, 31, 36, 33, 38, 33, 31, 31, 31]",32,35,3.707011665,24
23,28,30.53125,1,"[34, 25, 32, 32, 36, 29, 29, 34, 25, 34, 31, 29, 25, 35, 28, 33, 24, 32, 33, 31, 34, 30, 37, 31, 25, 36, 29, 28, 32, 31, 25, 28]",32,36,3.663106165,24
24,29,32.3,1,"[29, 35, 27, 34, 28, 33, 37, 35, 34, 27, 34, 36, 33, 34, 31, 31, 37, 36, 29, 34, 25, 34, 34, 37, 35, 30, 25, 28, 38, 29]",30,37,3.761419395,24
23,28,30.8125,1,"[30, 34, 29, 35, 34, 35, 32, 36, 28, 34, 31, 29, 36, 37, 28, 26, 30, 29, 27, 29, 36, 24, 30, 24, 28, 28, 34, 33, 33, 34, 27, 26]",32,38,3.728162221,30
25,29,32.5625,1,"[33, 33, 26, 31, 36, 27, 27, 29, 27, 30, 36, 35, 26, 34, 35, 28, 37, 29, 30, 30, 34, 37, 37, 30, 37, 39, 37, 37, 33, 36, 32, 34]",32,39,3.884937829,30
25,30,32.8125,1,"[32, 36, 32, 31, 36, 28, 31, 32, 27, 35, 26, 34, 35, 29, 30, 32, 34, 35, 35, 37, 32, 36, 30, 35, 38, 35, 28, 38, 37, 37, 30, 27]",32,40,3.486725981,30
23,29,31.76666667,1,"[34, 25, 37, 34, 36, 24, 35, 34, 29, 30, 32, 33, 34, 37, 37, 28, 32, 34, 33, 34, 32, 27, 25, 26, 32, 31, 35, 30, 32, 31]",30,41,3.673608893,24
25,31,32.875,1,"[38, 26, 36, 27, 32, 34, 32, 39, 35, 31, 34, 31, 39, 26, 32, 35, 30, 26, 34, 32, 35, 33, 31, 38, 39, 33, 31, 32, 33, 37, 34, 27]",32,42,3.799405726,24
24,29,31.6875,1,"[31, 38, 30, 33, 33, 28, 29, 37, 37, 27, 30, 29, 36, 31, 37, 32, 29, 32, 26, 31, 37, 30, 26, 38, 36, 29, 27, 38, 30, 32, 26, 29]",32,43,3.922125,24
22,28,31.59375,1,"[30, 34, 31, 25, 30, 28, 35, 24, 35, 34, 29, 34, 36, 23, 28, 33, 27, 38, 28, 30, 31, 38, 37, 27, 38, 36, 33, 31, 27, 35, 36, 30]",32,44,4.256754594,24
23,28,30.5,1,"[27, 30, 28, 34, 31, 34, 25, 35, 26, 30, 24, 29, 33, 28, 37, 35, 31, 31, 31, 30, 29, 30, 25, 28, 33, 32, 35, 37, 30, 25, 28, 35]",32,45,3.601075108,24
24,29,32.03225806,1,"[26, 36, 32, 34, 35, 27, 34, 33, 25, 25, 37, 31, 27, 31, 31, 31, 34, 33, 37, 38, 32, 30, 35, 35, 29, 37, 35, 33, 29, 28, 33]",31,46,3.674088286,24
24,30,33.53125,0,"[30, 29, 34, 32, 39, 39, 25, 34, 35, 30, 33, 26, 37, 25, 39, 38, 39, 39, 37, 35, 32, 39, 31, 25, 29, 36, 37, 37, 32, 38, 35, 27]",32,47,4.676532869,24
