anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
28,32,34.25,1,"[37, 39, 33, 34, 39, 37, 30, 36, 32, 29, 39, 39, 36, 30, 31, 32, 35, 36, 35, 34, 34, 39, 36, 33, 32, 29, 33, 36, 32, 30, 37, 32]",32,27,3.121207376,24
29,33,35.96875,1,"[39, 36, 36, 38, 36, 37, 32, 37, 34, 30, 39, 34, 38, 37, 35, 35, 39, 39, 37, 35, 40, 36, 32, 38, 36, 40, 33, 40, 31, 39, 32, 31]",32,28,2.912535477,24
30,34,35.75,1,"[33, 36, 39, 33, 35, 39, 37, 36, 40, 32, 32, 35, 34, 37, 35, 34, 40, 38, 35, 31, 38, 35, 38, 37, 39, 31, 35, 37, 35, 38, 36, 34]",32,29,2.514474228,24
29,33,35.21875,1,"[34, 35, 33, 36, 39, 33, 38, 34, 40, 36, 34, 34, 32, 32, 38, 40, 39, 39, 34, 32, 40, 31, 32, 36, 34, 30, 40, 33, 38, 33, 34, 34]",32,30,2.991756146,24
29,34,36.19354839,1,"[40, 30, 38, 34, 39, 38, 40, 39, 38, 40, 37, 40, 34, 33, 34, 35, 38, 37, 38, 35, 37, 33, 37, 38, 32, 40, 34, 39, 35, 30, 30]",31,31,3.134957255,24
32,37,38.19354839,1,"[39, 41, 35, 37, 38, 41, 40, 37, 38, 41, 40, 38, 41, 36, 37, 40, 38, 38, 34, 39, 35, 40, 40, 37, 38, 34, 41, 39, 36, 38, 38]",31,32,2.072347378,30
31,35,37.59375,1,"[40, 38, 32, 39, 37, 38, 41, 35, 40, 39, 37, 36, 34, 41, 40, 36, 34, 40, 34, 41, 33, 40, 36, 38, 39, 40, 37, 41, 33, 39, 38, 37]",32,33,2.650129333,30
30,35,37.5,1,"[32, 40, 31, 39, 39, 38, 38, 39, 40, 37, 41, 40, 34, 38, 41, 41, 41, 31, 32, 37, 41, 39, 40, 37, 33, 35, 38, 38, 40, 35, 37, 38]",32,34,3.079589415,30
32,36,37.875,1,"[38, 40, 35, 39, 37, 38, 38, 41, 36, 33, 40, 41, 34, 41, 41, 38, 38, 36, 40, 41, 35, 37, 40, 40, 36, 41, 39, 33, 38, 37, 37, 34]",32,35,2.485441481,24
28,32,34.8125,1,"[31, 34, 38, 31, 39, 31, 36, 32, 36, 35, 31, 34, 34, 39, 37, 32, 36, 38, 38, 32, 36, 31, 36, 35, 31, 38, 32, 38, 35, 38, 38, 32]",32,36,2.82200455,24
29,33,36.09375,1,"[30, 32, 37, 31, 33, 40, 38, 31, 40, 39, 34, 40, 30, 37, 33, 34, 39, 38, 39, 36, 36, 40, 33, 40, 40, 40, 38, 36, 37, 30, 40, 34]",32,37,3.513654242,24
29,34,36.125,1,"[33, 40, 38, 31, 37, 34, 36, 35, 40, 37, 38, 30, 37, 34, 33, 36, 38, 37, 34, 38, 40, 35, 32, 37, 33, 37, 36, 39, 40, 37, 37, 37]",32,38,2.636591152,30
28,32,33.72413793,1,"[29, 32, 34, 35, 35, 33, 36, 32, 36, 33, 37, 32, 38, 30, 32, 39, 31, 30, 37, 29, 34, 32, 38, 36, 31, 32, 33, 36, 36]",29,39,2.814459498,30
30,35,36.8125,1,"[36, 31, 38, 39, 32, 37, 41, 38, 35, 33, 35, 40, 38, 39, 37, 40, 35, 41, 41, 33, 35, 36, 41, 38, 32, 36, 38, 35, 37, 41, 37, 33]",32,40,2.934087757,30
29,33,36,1,"[30, 40, 33, 40, 34, 35, 39, 35, 32, 39, 37, 33, 31, 34, 40, 36, 40, 39, 32, 39, 35, 34, 38, 32, 31, 36, 40, 40, 39, 38, 36, 35]",32,41,3.202821337,24
31,35,37.09677419,1,"[34, 37, 35, 40, 41, 37, 38, 38, 38, 39, 35, 40, 39, 36, 32, 38, 38, 39, 41, 36, 35, 32, 32, 41, 33, 39, 39, 32, 41, 38, 37]",31,42,2.86769174,24
28,32,34.1875,1,"[35, 34, 31, 34, 30, 35, 37, 39, 33, 34, 38, 33, 31, 33, 31, 35, 38, 38, 36, 35, 30, 34, 33, 38, 34, 32, 34, 34, 35, 35, 30, 35]",32,43,2.481382289,24
29,33,35.5625,1,"[34, 38, 40, 37, 34, 37, 40, 33, 38, 38, 37, 37, 37, 31, 37, 37, 31, 40, 30, 35, 37, 31, 40, 30, 38, 36, 32, 33, 36, 35, 35, 34]",32,44,2.993945503,24
28,33,35.40625,1,"[31, 39, 39, 31, 37, 35, 36, 33, 30, 34, 38, 35, 36, 36, 37, 29, 35, 35, 38, 40, 40, 36, 37, 34, 37, 32, 36, 39, 36, 37, 29, 36]",32,45,3.014581499,24
30,34,35.38709677,1,"[38, 35, 31, 38, 34, 34, 33, 31, 35, 39, 38, 40, 39, 35, 35, 31, 36, 34, 34, 36, 39, 35, 38, 38, 32, 34, 36, 38, 35, 31, 35]",31,46,2.629035556,24
29,33,35.375,1,"[38, 31, 36, 34, 35, 37, 37, 38, 39, 34, 34, 36, 38, 32, 31, 34, 33, 34, 40, 30, 40, 32, 36, 34, 33, 35, 37, 35, 38, 40, 40, 31]",32,47,2.937521448,24
29,34,35.6875,1,"[37, 35, 39, 30, 38, 39, 36, 35, 37, 32, 35, 40, 38, 39, 34, 32, 34, 39, 35, 35, 34, 37, 37, 32, 33, 39, 32, 34, 35, 39, 35, 36]",32,48,2.608144811,24
31,35,37.15625,1,"[39, 36, 37, 39, 39, 41, 40, 41, 37, 37, 32, 36, 40, 37, 40, 39, 41, 39, 38, 41, 37, 38, 34, 36, 32, 39, 33, 36, 33, 35, 35, 32]",32,49,2.806781822,24
30,35,37.8125,0,"[31, 40, 37, 34, 41, 39, 38, 36, 33, 34, 36, 39, 38, 33, 39, 37, 40, 37, 41, 41, 41, 37, 41, 31, 41, 36, 40, 41, 40, 37, 41, 40]",32,50,3.063178825,24
