anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
24,28,32.125,1,"[36, 27, 26, 29, 31, 36, 37, 33, 29, 33, 34, 38, 37, 38, 25, 28, 30, 25, 36, 26, 28, 37, 27, 36, 36, 28, 36, 29, 33, 37, 31, 36]",32,27,4.368139783,24
23,29,32.59375,1,"[28, 35, 35, 37, 30, 36, 31, 37, 28, 34, 34, 24, 32, 36, 36, 35, 30, 28, 32, 38, 35, 29, 32, 37, 32, 35, 36, 29, 36, 28, 24, 34]",32,28,3.834136779,24
23,29,32.5625,1,"[38, 28, 33, 26, 37, 33, 30, 38, 25, 35, 29, 25, 36, 29, 30, 30, 32, 33, 29, 34, 37, 25, 38, 34, 36, 28, 37, 36, 38, 38, 34, 31]",32,29,4.295064685,24
23,28,31.5625,1,"[28, 32, 32, 24, 37, 31, 35, 27, 34, 25, 36, 37, 30, 36, 28, 28, 28, 34, 30, 34, 30, 34, 31, 37, 27, 24, 35, 35, 24, 34, 37, 36]",32,30,4.242165454,24
25,32,35.125,1,"[34, 39, 40, 37, 36, 31, 26, 32, 39, 38, 27, 38, 35, 28, 29, 36, 39, 40, 35, 33, 35, 30, 38, 33, 37, 32, 39, 38, 36, 40, 38, 36]",32,31,3.98990662,24
23,29,31.46875,1,"[25, 34, 37, 29, 32, 33, 32, 25, 33, 38, 27, 25, 30, 31, 30, 30, 34, 36, 29, 38, 33, 24, 32, 34, 32, 38, 26, 30, 33, 31, 34, 32]",32,32,3.88532703,30
27,34,36.1,1,"[39, 36, 33, 37, 30, 36, 40, 36, 35, 35, 33, 35, 28, 40, 38, 40, 40, 40, 38, 34, 30, 37, 36, 40, 31, 35, 35, 38, 39, 39]",30,33,3.346124882,30
23,28,31.625,1,"[34, 28, 28, 28, 37, 37, 33, 36, 26, 31, 27, 35, 35, 36, 29, 27, 24, 28, 35, 36, 34, 35, 34, 33, 28, 28, 33, 36, 36, 26, 35, 24]",32,34,4.179442778,30
24,29,31.96875,1,"[38, 32, 35, 36, 29, 25, 34, 29, 25, 31, 31, 31, 34, 37, 30, 31, 27, 36, 29, 38, 29, 38, 26, 25, 27, 35, 37, 38, 35, 29, 36, 30]",32,35,4.276600813,24
23,28,31.0625,1,"[29, 30, 32, 33, 34, 28, 27, 35, 29, 32, 31, 24, 30, 31, 30, 27, 29, 27, 34, 34, 37, 36, 33, 34, 33, 31, 32, 25, 32, 24, 35, 36]",32,36,3.482097069,24
22,28,31.59375,1,"[36, 37, 32, 34, 37, 30, 27, 30, 36, 30, 35, 24, 31, 25, 31, 24, 27, 34, 29, 37, 38, 26, 28, 37, 28, 35, 29, 36, 37, 30, 31, 30]",32,37,4.271883886,24
24,29,31.90625,1,"[27, 29, 31, 37, 38, 30, 26, 34, 30, 26, 29, 26, 35, 33, 34, 29, 34, 36, 33, 29, 35, 34, 28, 38, 29, 33, 28, 35, 33, 31, 35, 36]",32,38,3.613231732,30
25,31,34.6875,1,"[37, 36, 39, 34, 38, 31, 27, 32, 39, 28, 36, 39, 33, 37, 39, 37, 36, 36, 32, 38, 33, 39, 38, 39, 38, 34, 36, 29, 39, 26, 27, 28]",32,39,4.207807643,30
26,32,34.5625,1,"[31, 38, 36, 32, 35, 30, 31, 39, 34, 33, 27, 33, 32, 38, 38, 38, 27, 31, 32, 40, 33, 38, 38, 33, 40, 32, 40, 37, 37, 35, 34, 34]",32,40,3.609463368,30
26,31,34.25,1,"[32, 38, 38, 36, 36, 38, 28, 32, 37, 36, 34, 35, 28, 37, 33, 29, 30, 35, 37, 35, 36, 36, 35, 36, 39, 33, 30, 34, 37, 30, 33, 33]",32,41,3.069096746,24
25,31,33.90625,1,"[33, 28, 38, 38, 26, 29, 34, 39, 34, 29, 33, 28, 32, 35, 37, 26, 38, 38, 36, 31, 39, 33, 39, 36, 32, 33, 37, 38, 34, 34, 37, 31]",32,42,3.896726293,24
25,30,32.65625,1,"[26, 37, 35, 30, 33, 31, 36, 28, 26, 35, 33, 35, 32, 35, 37, 31, 34, 34, 29, 30, 36, 38, 34, 31, 36, 37, 37, 30, 37, 26, 30, 26]",32,43,3.738288163,24
23,29,31.4375,1,"[36, 35, 31, 24, 33, 31, 32, 35, 24, 33, 33, 34, 35, 36, 31, 33, 32, 24, 31, 33, 32, 26, 36, 37, 33, 32, 35, 29, 26, 30, 29, 25]",32,44,3.800997322,24
24,29,32.25,1,"[34, 29, 38, 37, 35, 37, 33, 30, 38, 32, 34, 35, 28, 26, 35, 30, 29, 27, 35, 31, 32, 33, 38, 29, 33, 26, 32, 35, 36, 27, 28, 30]",32,45,3.689566807,24
23,28,30.9375,1,"[35, 24, 30, 31, 34, 33, 30, 24, 31, 33, 36, 34, 33, 36, 30, 33, 36, 36, 31, 27, 28, 28, 28, 32, 24, 31, 26, 34, 27, 28, 36, 31]",32,46,3.715160744,24
24,31,33,1,"[37, 38, 33, 34, 29, 31, 34, 37, 32, 36, 37, 27, 36, 32, 25, 39, 36, 36, 33, 36, 31, 37, 34, 37, 31, 31, 27, 31, 26, 32, 28]",31,47,3.820994635,24
23,29,32.0625,1,"[33, 37, 32, 32, 36, 36, 27, 34, 37, 29, 32, 35, 33, 31, 37, 31, 29, 29, 25, 36, 25, 28, 27, 33, 38, 35, 37, 24, 33, 29, 36, 30]",32,48,3.999495936,24
25,31,33.3125,1,"[33, 37, 32, 31, 32, 32, 32, 34, 33, 35, 27, 35, 35, 26, 39, 26, 32, 27, 36, 39, 36, 38, 36, 26, 28, 39, 37, 35, 31, 38, 38, 31]",32,49,4.083305903,24
24,29,31.80645161,0,"[26, 33, 37, 31, 31, 37, 35, 31, 29, 30, 31, 37, 35, 33, 35, 30, 28, 30, 31, 26, 38, 28, 30, 28, 30, 31, 25, 36, 38, 29, 37]",31,50,3.780823145,24
