anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
24,29,31.80645161,1,"[34, 31, 38, 28, 31, 30, 30, 26, 28, 33, 34, 29, 25, 38, 34, 31, 28, 30, 25, 30, 37, 31, 37, 32, 33, 33, 30, 36, 33, 35, 36]",31,1,3.618649424,30
25,30,32.625,1,"[30, 31, 33, 37, 26, 31, 33, 29, 33, 27, 31, 35, 34, 37, 32, 31, 35, 33, 32, 37, 35, 35, 36, 28, 29, 30, 28, 36, 37, 37, 34, 32]",32,2,3.190206789,30
24,28,31.53125,1,"[38, 35, 25, 29, 30, 37, 37, 30, 26, 34, 30, 27, 30, 33, 36, 32, 37, 30, 37, 25, 34, 27, 27, 33, 29, 29, 28, 32, 35, 32, 28, 37]",32,3,3.959344806,30
25,31,34.16666667,1,"[33, 31, 29, 32, 39, 39, 34, 33, 39, 34, 35, 39, 38, 30, 36, 39, 30, 35, 36, 32, 30, 38, 39, 32, 33, 34, 34, 37, 29, 26]",30,4,3.64912208,30
26,32,34.71875,1,"[34, 32, 30, 37, 35, 40, 32, 36, 34, 36, 40, 35, 36, 30, 30, 37, 32, 36, 35, 32, 33, 33, 40, 35, 28, 40, 38, 39, 40, 28, 30, 38]",32,5,3.647662751,30
25,30,32.53125,0,"[28, 38, 37, 26, 32, 32, 30, 32, 36, 36, 38, 36, 34, 27, 34, 33, 33, 29, 38, 30, 30, 35, 31, 33, 33, 33, 26, 35, 27, 31, 30, 38]",32,6,3.60988227,30
24,28,32.40625,1,"[34, 26, 35, 27, 31, 27, 35, 33, 36, 37, 37, 32, 33, 36, 29, 29, 36, 31, 35, 26, 35, 31, 30, 29, 38, 34, 33, 25, 35, 27, 37, 38]",32,7,3.917367245,30
23,28,31.375,1,"[35, 35, 37, 29, 37, 30, 25, 27, 30, 28, 28, 31, 33, 36, 33, 24, 30, 34, 29, 36, 37, 37, 32, 32, 24, 34, 34, 36, 26, 26, 31, 28]",32,8,4.101533938,30
23,28,30.76666667,1,"[26, 35, 37, 27, 30, 29, 24, 31, 32, 34, 26, 29, 37, 36, 29, 34, 26, 28, 37, 31, 32, 34, 28, 34, 30, 25, 30, 34, 29, 29]",30,9,3.766305547,30
23,27,30.87096774,1,"[33, 33, 25, 33, 32, 26, 32, 28, 32, 32, 26, 27, 37, 32, 33, 28, 31, 31, 32, 28, 30, 34, 25, 29, 34, 36, 36, 36, 33, 27, 26]",31,10,3.490386182,30
23,28,32,1,"[37, 34, 37, 32, 36, 31, 36, 25, 36, 32, 26, 27, 33, 28, 31, 36, 36, 29, 31, 34, 34, 36, 35, 34, 36, 25, 28, 35, 27, 30, 27, 30]",32,11,3.843721315,30
21,26,30.4375,1,"[31, 31, 36, 28, 36, 30, 36, 34, 28, 33, 32, 27, 37, 26, 37, 24, 29, 35, 37, 22, 25, 31, 37, 23, 26, 24, 28, 34, 26, 24, 37, 30]",32,12,4.872155911,30
23,27,31.28125,1,"[26, 32, 35, 27, 25, 24, 37, 38, 34, 25, 24, 35, 27, 37, 25, 33, 38, 29, 32, 30, 30, 28, 38, 31, 32, 32, 38, 30, 34, 27, 32, 36]",32,13,4.559530076,30
23,28,31.71875,1,"[33, 37, 36, 32, 25, 31, 34, 35, 28, 34, 24, 25, 36, 25, 34, 35, 29, 36, 34, 30, 36, 34, 33, 30, 33, 37, 31, 27, 34, 24, 30, 33]",32,14,4.001889675,30
25,30,32.78125,1,"[32, 29, 32, 29, 33, 34, 36, 33, 27, 37, 38, 34, 29, 32, 30, 32, 35, 35, 33, 35, 28, 30, 30, 28, 33, 32, 35, 36, 34, 32, 38, 38]",32,15,3.07680579,30
24,30,32.80645161,1,"[39, 29, 32, 39, 32, 32, 32, 32, 35, 29, 25, 38, 34, 29, 31, 28, 31, 30, 29, 33, 31, 36, 26, 39, 25, 35, 35, 39, 36, 38, 38]",31,16,4.245934172,30
25,31,32.78125,1,"[30, 31, 33, 31, 32, 33, 34, 27, 36, 39, 31, 37, 33, 35, 32, 31, 31, 29, 31, 36, 36, 39, 39, 28, 27, 34, 36, 31, 28, 34, 31, 34]",32,17,3.347935088,30
23,29,31.9375,1,"[36, 27, 30, 25, 29, 38, 32, 34, 37, 26, 32, 30, 33, 37, 33, 31, 29, 29, 38, 32, 38, 30, 34, 34, 36, 26, 33, 35, 31, 25, 37, 25]",32,18,4.110862872,30
22,27,30.6875,1,"[28, 34, 37, 30, 35, 37, 34, 37, 26, 24, 28, 26, 34, 35, 30, 30, 26, 29, 27, 25, 30, 27, 32, 25, 33, 30, 31, 31, 27, 35, 36, 33]",32,19,3.954886728,30
22,27,30.3125,1,"[27, 34, 24, 23, 31, 29, 37, 30, 29, 26, 34, 24, 27, 32, 28, 33, 37, 37, 36, 31, 29, 28, 35, 29, 36, 33, 32, 23, 28, 23, 33, 32]",32,20,4.33617566,30
26,32,34.74193548,0,"[33, 40, 31, 27, 35, 39, 28, 35, 38, 36, 37, 39, 36, 36, 33, 36, 28, 35, 38, 36, 28, 32, 38, 36, 40, 33, 40, 32, 28, 39, 35]",31,21,3.932494899,30
