anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
27,31,33.90625,1,"[31, 31, 28, 36, 36, 33, 37, 32, 35, 34, 30, 33, 30, 28, 34, 37, 37, 38, 34, 35, 34, 29, 38, 32, 29, 39, 31, 38, 35, 37, 35, 39]",32,27,3.29573894,24
28,32,34.4375,1,"[31, 33, 38, 31, 36, 32, 39, 39, 39, 36, 35, 34, 35, 30, 32, 36, 35, 39, 35, 36, 32, 37, 36, 33, 36, 34, 30, 30, 30, 38, 32, 33]",32,28,2.917549789,24
27,32,34.96875,1,"[35, 39, 29, 39, 39, 34, 33, 28, 34, 36, 36, 36, 39, 37, 29, 35, 38, 36, 28, 39, 38, 29, 35, 29, 34, 32, 38, 38, 35, 38, 35, 39]",32,29,3.623261541,24
27,33,36,1,"[31, 28, 40, 39, 28, 35, 32, 39, 36, 34, 38, 36, 40, 39, 35, 37, 31, 40, 36, 35, 35, 39, 39, 37, 39, 37, 38, 35, 33, 39, 40, 32]",32,30,3.436051748,24
30,35,36.875,1,"[35, 37, 38, 36, 35, 38, 37, 32, 33, 38, 36, 36, 40, 40, 37, 40, 38, 37, 41, 36, 40, 32, 41, 32, 37, 41, 38, 35, 39, 40, 31, 34]",32,31,2.859618743,24
29,33,34.73333333,1,"[39, 34, 31, 35, 35, 33, 33, 33, 36, 34, 31, 30, 37, 36, 35, 40, 38, 36, 32, 39, 40, 36, 33, 35, 34, 31, 34, 38, 33, 31]",30,32,2.803118132,30
31,35,36.96875,1,"[34, 40, 38, 37, 38, 37, 35, 38, 38, 36, 38, 39, 39, 37, 32, 38, 33, 35, 38, 38, 37, 40, 38, 41, 32, 39, 33, 34, 39, 39, 36, 37]",32,33,2.362125546,30
28,32,34.28125,1,"[35, 33, 34, 39, 36, 37, 33, 32, 37, 36, 31, 37, 34, 30, 33, 38, 36, 29, 33, 33, 35, 35, 35, 37, 39, 35, 31, 30, 31, 37, 34, 32]",32,34,2.67888247,30
28,33,35.75,1,"[39, 32, 38, 40, 33, 32, 35, 36, 39, 31, 35, 35, 40, 34, 40, 29, 35, 31, 39, 35, 40, 34, 39, 36, 33, 33, 36, 38, 36, 40, 31, 40]",32,35,3.28240667,24
29,33,34.59375,1,"[32, 35, 37, 33, 35, 39, 33, 33, 33, 32, 36, 32, 32, 40, 36, 36, 39, 36, 33, 33, 34, 34, 34, 30, 39, 36, 33, 35, 31, 34, 37, 35]",32,36,2.473855226,24
28,34,36,1,"[35, 31, 40, 36, 37, 35, 37, 37, 36, 40, 30, 34, 39, 40, 36, 33, 32, 37, 30, 36, 35, 36, 38, 38, 34, 29, 38, 40, 40, 40, 39, 34]",32,37,3.192733686,24
32,37,38.0625,1,"[37, 39, 41, 37, 39, 36, 33, 40, 38, 41, 41, 37, 41, 34, 36, 39, 41, 37, 37, 39, 37, 40, 37, 38, 40, 35, 40, 37, 37, 41, 33, 40]",32,38,2.340905532,30
31,35,36.93548387,1,"[36, 39, 38, 33, 34, 39, 35, 41, 41, 38, 33, 41, 36, 41, 40, 37, 38, 37, 37, 35, 36, 40, 33, 34, 32, 36, 37, 36, 37, 35, 40]",31,39,2.644938359,30
33,37,38.375,0,"[37, 40, 42, 41, 35, 42, 41, 37, 35, 38, 39, 37, 40, 40, 40, 36, 38, 38, 41, 38, 42, 40, 34, 39, 37, 38, 40, 35, 37, 39, 34, 38]",32,40,2.310564796,30
30,34,36.4375,1,"[36, 37, 37, 35, 39, 36, 32, 40, 32, 40, 34, 40, 33, 37, 33, 34, 38, 36, 40, 39, 37, 33, 40, 37, 39, 36, 38, 36, 38, 34, 38, 32]",32,41,2.601953361,24
31,35,37.21875,1,"[33, 36, 35, 37, 41, 38, 39, 41, 34, 39, 40, 39, 35, 33, 35, 34, 41, 37, 33, 40, 37, 39, 40, 41, 39, 37, 36, 40, 38, 36, 32, 36]",32,42,2.708819229,24
29,33,35.46875,1,"[40, 35, 34, 36, 32, 40, 40, 38, 37, 35, 34, 37, 33, 40, 32, 39, 30, 33, 36, 32, 33, 34, 32, 35, 33, 39, 36, 37, 38, 37, 30, 38]",32,43,2.983658449,24
28,32,33.83870968,1,"[34, 36, 30, 34, 32, 32, 30, 38, 31, 37, 39, 32, 34, 35, 33, 32, 32, 29, 33, 35, 33, 30, 36, 30, 32, 39, 33, 37, 39, 39, 33]",31,44,3.001075076,24
29,33,35.28125,1,"[38, 36, 35, 36, 37, 40, 38, 35, 37, 31, 35, 35, 33, 32, 30, 37, 38, 35, 40, 36, 31, 36, 31, 37, 38, 31, 34, 37, 36, 38, 33, 33]",32,45,2.714766966,24
27,33,35.5,1,"[40, 36, 40, 28, 38, 36, 34, 36, 36, 33, 36, 40, 40, 32, 35, 37, 39, 37, 39, 37, 38, 38, 39, 35, 33, 28, 35, 35, 36, 31, 29, 30]",32,46,3.491926171,24
28,34,35.40625,1,"[37, 34, 39, 40, 36, 37, 31, 38, 35, 32, 30, 40, 35, 34, 40, 36, 35, 39, 31, 35, 35, 35, 40, 30, 38, 34, 36, 36, 37, 34, 30, 34]",32,47,3.014581499,24
28,33,34.96875,1,"[33, 30, 37, 39, 38, 36, 33, 32, 36, 36, 34, 39, 36, 38, 38, 33, 34, 37, 29, 31, 36, 34, 37, 33, 33, 33, 31, 37, 29, 40, 39, 38]",32,48,3.084658971,24
30,35,37.03125,1,"[37, 41, 41, 34, 33, 36, 40, 38, 38, 32, 35, 41, 38, 41, 37, 38, 37, 41, 35, 40, 36, 31, 39, 35, 36, 37, 32, 40, 31, 39, 37, 39]",32,49,3.031920237,24
29,33,35.5,1,"[40, 37, 35, 36, 34, 40, 39, 35, 37, 35, 37, 37, 31, 32, 33, 40, 38, 39, 39, 32, 35, 33, 39, 35, 34, 33, 36, 38, 32, 34, 30, 31]",32,50,2.929273828,24
