anchor,jnd,mean,normality,samples,samples_no,sequence_index,standard_deviation,frame
24,28,30.86666667,1,"[32, 25, 28, 25, 32, 30, 28, 25, 32, 29, 31, 35, 37, 29, 27, 36, 36, 32, 34, 30, 33, 31, 29, 35, 25, 25, 38, 30, 32, 35]",30,1,3.848271742,30
24,29,32.3125,1,"[38, 38, 34, 28, 31, 34, 35, 27, 31, 27, 27, 33, 32, 35, 29, 36, 29, 29, 30, 33, 37, 31, 36, 38, 34, 36, 30, 28, 28, 35, 35, 30]",32,2,3.559970098,30
25,30,33.21875,1,"[37, 35, 36, 32, 37, 34, 34, 30, 37, 36, 37, 33, 32, 34, 38, 26, 26, 34, 30, 26, 37, 28, 33, 38, 27, 31, 37, 31, 38, 32, 38, 29]",32,3,3.908092307,30
24,28,30.90322581,1,"[32, 30, 31, 37, 28, 38, 28, 38, 28, 31, 27, 27, 29, 25, 26, 25, 33, 26, 35, 36, 33, 31, 35, 29, 28, 28, 33, 28, 33, 38, 32]",31,4,3.977895915,30
27,33,35.0625,1,"[32, 35, 31, 36, 33, 33, 39, 35, 38, 36, 32, 34, 40, 28, 34, 40, 34, 36, 39, 39, 38, 34, 39, 34, 36, 28, 37, 35, 39, 33, 34, 31]",32,5,3.222276294,30
24,29,32.15625,0,"[34, 33, 29, 38, 37, 34, 28, 28, 35, 26, 33, 29, 33, 32, 34, 26, 29, 37, 29, 33, 34, 38, 28, 38, 28, 38, 30, 29, 33, 34, 29, 33]",32,6,3.690522954,30
25,31,33.65625,1,"[33, 35, 33, 26, 39, 32, 32, 34, 34, 36, 37, 27, 38, 32, 28, 37, 26, 39, 39, 32, 33, 37, 36, 35, 34, 38, 33, 27, 30, 33, 37, 35]",32,7,3.806695078,30
23,29,32.4375,1,"[32, 27, 37, 25, 36, 36, 37, 24, 38, 36, 33, 29, 38, 29, 34, 29, 29, 32, 38, 31, 34, 32, 32, 33, 34, 34, 25, 38, 38, 27, 36, 25]",32,8,4.413597026,30
24,28,32.15625,1,"[34, 26, 28, 30, 27, 26, 33, 37, 33, 25, 36, 32, 30, 38, 32, 27, 38, 36, 37, 28, 34, 37, 28, 35, 38, 37, 37, 26, 30, 32, 30, 32]",32,9,4.228241265,30
25,30,33.65625,1,"[32, 32, 29, 35, 37, 27, 35, 36, 38, 37, 31, 37, 26, 28, 34, 38, 31, 37, 36, 26, 28, 35, 34, 31, 36, 30, 38, 36, 36, 38, 37, 36]",32,10,3.840441633,30
23,29,32.65625,1,"[37, 34, 26, 33, 30, 31, 37, 37, 31, 24, 33, 37, 36, 35, 34, 28, 31, 33, 31, 34, 34, 34, 37, 32, 35, 27, 36, 33, 26, 36, 26, 37]",32,11,3.798211591,30
22,28,31.70967742,1,"[38, 34, 38, 36, 34, 37, 32, 30, 25, 29, 29, 37, 24, 23, 35, 29, 28, 37, 28, 36, 30, 35, 36, 26, 23, 37, 34, 32, 23, 37, 31]",31,12,4.940941532,30
23,28,31.41935484,1,"[27, 34, 25, 33, 26, 28, 28, 37, 28, 24, 36, 28, 32, 33, 24, 35, 28, 37, 34, 36, 33, 31, 31, 37, 27, 31, 35, 36, 31, 32, 37]",31,13,4.137424268,30
24,29,31.78125,1,"[32, 36, 34, 31, 29, 25, 34, 31, 34, 33, 34, 35, 29, 26, 35, 27, 37, 38, 31, 30, 35, 30, 36, 35, 30, 29, 25, 33, 38, 25, 27, 33]",32,14,3.841491436,30
24,30,32.96875,1,"[33, 31, 35, 29, 29, 31, 38, 33, 34, 27, 31, 39, 34, 39, 30, 36, 38, 35, 36, 37, 36, 25, 30, 33, 35, 33, 28, 29, 36, 28, 31, 36]",32,15,3.71990613,30
25,31,33.65625,1,"[34, 28, 36, 33, 29, 32, 29, 37, 32, 32, 39, 35, 30, 31, 32, 38, 32, 38, 39, 29, 38, 36, 33, 34, 39, 39, 29, 31, 35, 35, 31, 32]",32,16,3.451127679,30
26,32,34.96875,1,"[33, 30, 40, 32, 40, 34, 30, 37, 39, 32, 39, 36, 37, 31, 34, 33, 37, 35, 30, 39, 37, 32, 30, 31, 36, 37, 37, 36, 37, 34, 35, 39]",32,17,3.187519766,30
23,28,30.59375,1,"[28, 30, 28, 35, 37, 34, 29, 29, 27, 36, 29, 27, 31, 30, 31, 30, 30, 35, 30, 36, 26, 31, 25, 33, 31, 25, 35, 36, 32, 28, 28, 27]",32,18,3.43473129,30
22,27,29.64516129,1,"[36, 35, 31, 25, 31, 28, 31, 33, 26, 32, 27, 32, 27, 27, 33, 32, 29, 34, 24, 27, 37, 30, 30, 26, 30, 27, 33, 24, 27, 24, 31]",31,19,3.601373693,30
23,28,31.625,1,"[33, 32, 33, 30, 35, 30, 24, 33, 37, 27, 35, 33, 36, 33, 36, 31, 33, 31, 32, 37, 36, 32, 25, 29, 34, 29, 24, 36, 24, 33, 32, 27]",32,20,3.841622641,30
26,32,35.15625,1,"[33, 28, 32, 35, 35, 32, 39, 36, 37, 37, 38, 36, 31, 36, 39, 40, 31, 40, 37, 40, 29, 33, 27, 39, 39, 37, 32, 36, 38, 27, 40, 36]",32,21,3.944038989,30
23,29,33.15625,1,"[30, 24, 33, 36, 36, 27, 37, 36, 37, 33, 26, 38, 36, 31, 26, 34, 36, 32, 37, 38, 29, 29, 38, 24, 35, 37, 28, 35, 33, 35, 38, 37]",32,22,4.414853046,30
26,31,33.625,1,"[31, 32, 38, 36, 39, 33, 31, 30, 38, 36, 29, 32, 34, 31, 36, 37, 29, 30, 34, 36, 31, 31, 34, 34, 40, 39, 34, 28, 27, 36, 31, 39]",32,23,3.580863115,24
24,29,31.84375,1,"[33, 32, 38, 33, 28, 29, 31, 29, 36, 29, 37, 37, 27, 31, 32, 25, 30, 38, 30, 27, 35, 33, 33, 29, 37, 31, 34, 25, 25, 29, 38, 38]",32,24,4.096492402,24
25,30,33.4375,1,"[35, 33, 34, 37, 35, 33, 31, 38, 31, 36, 34, 31, 26, 28, 38, 37, 35, 32, 27, 28, 36, 31, 27, 26, 38, 37, 30, 38, 37, 35, 38, 38]",32,25,3.975225699,24
26,31,33.73333333,1,"[40, 40, 39, 34, 27, 31, 38, 31, 33, 33, 36, 29, 31, 32, 33, 34, 36, 33, 30, 38, 35, 39, 38, 27, 33, 36, 35, 27, 30, 34]",30,26,3.814069537,24
23,28,30.875,1,"[29, 29, 29, 29, 28, 36, 32, 35, 37, 33, 37, 30, 35, 28, 27, 29, 29, 25, 24, 33, 25, 29, 32, 34, 25, 37, 32, 34, 28, 37, 35, 26]",32,27,4.014088094,24
24,29,33.625,1,"[37, 37, 37, 38, 37, 36, 36, 34, 26, 35, 36, 34, 29, 34, 27, 30, 27, 35, 38, 25, 38, 34, 35, 25, 32, 38, 37, 35, 34, 25, 38, 37]",32,28,4.3828846,24
24,30,33.5,1,"[28, 37, 28, 33, 34, 37, 38, 34, 34, 35, 25, 31, 34, 29, 30, 31, 38, 27, 34, 37, 33, 28, 33, 34, 39, 33, 38, 35, 35, 38, 34, 38]",32,29,3.715703381,24
23,29,31.875,1,"[34, 37, 32, 31, 38, 36, 30, 34, 37, 29, 26, 33, 25, 29, 31, 38, 31, 24, 28, 31, 32, 36, 33, 35, 30, 28, 35, 30, 38, 36, 29, 24]",32,30,4.101533938,24
24,29,33.625,1,"[38, 27, 36, 36, 34, 28, 26, 37, 33, 36, 37, 25, 36, 38, 37, 31, 36, 26, 37, 36, 37, 33, 34, 37, 36, 29, 27, 36, 36, 32, 38, 31]",32,31,4.117233647,24
26,32,34.35483871,1,"[36, 29, 39, 35, 31, 40, 34, 27, 34, 37, 30, 34, 33, 39, 38, 36, 34, 29, 34, 35, 35, 36, 34, 32, 28, 37, 36, 38, 34, 37, 34]",31,32,3.291892942,30
25,31,34.375,1,"[39, 39, 39, 31, 30, 39, 38, 37, 29, 37, 39, 32, 32, 27, 38, 30, 36, 32, 36, 26, 34, 37, 36, 32, 39, 27, 34, 34, 36, 36, 37, 32]",32,33,3.941098586,30
24,30,32.71875,0,"[29, 33, 29, 38, 28, 30, 35, 36, 36, 38, 37, 34, 29, 29, 27, 31, 31, 33, 27, 31, 32, 38, 35, 30, 38, 29, 38, 35, 29, 29, 38, 35]",32,34,3.760871339,30
26,32,34.96875,1,"[40, 36, 40, 33, 38, 36, 31, 27, 34, 34, 35, 33, 38, 28, 38, 37, 34, 38, 34, 38, 31, 29, 36, 36, 31, 39, 40, 35, 32, 36, 34, 38]",32,35,3.468609231,24
